,n-gram,textblob-score,textblob-subjectivity,vader-pos,vader-neg,vader-neu,vader-compound
0,want to speak real,0.2,0.30000000000000004,0.302,0.0,0.698,0.0772
1,to speak real English,0.0,0.0,0.0,0.0,1.0,0.0
2,speak real English from,0.0,0.0,0.0,0.0,1.0,0.0
3,real English from your,0.0,0.0,0.0,0.0,1.0,0.0
4,English from your first,0.125,0.16666666666666666,0.0,0.0,1.0,0.0
5,from your first lesson,0.25,0.3333333333333333,0.0,0.0,1.0,0.0
6,your first lesson sign,0.25,0.3333333333333333,0.0,0.0,1.0,0.0
7,first lesson sign up,0.25,0.3333333333333333,0.0,0.0,1.0,0.0
8,lesson sign up for,0.0,0.0,0.0,0.0,1.0,0.0
9,sign up for your,0.0,0.0,0.0,0.0,1.0,0.0
10,up for your free,0.4,0.8,0.524,0.0,0.476,0.5106
11,for your free lifetime,0.4,0.8,0.524,0.0,0.476,0.5106
12,your free lifetime account,0.4,0.8,0.524,0.0,0.476,0.5106
13,free lifetime account at,0.4,0.8,0.524,0.0,0.476,0.5106
14,lifetime account at englishclass101.com,0.0,0.0,0.0,0.0,1.0,0.0
15,account at englishclass101.com hi,0.0,0.0,0.0,0.0,1.0,0.0
16,at englishclass101.com hi everybody,0.0,0.0,0.0,0.0,1.0,0.0
17,englishclass101.com hi everybody in,0.0,0.0,0.0,0.0,1.0,0.0
18,hi everybody in my,0.0,0.0,0.0,0.0,1.0,0.0
19,everybody in my name,0.0,0.0,0.0,0.0,1.0,0.0
20,in my name is,0.0,0.0,0.0,0.0,1.0,0.0
21,my name is Alicia,0.0,0.0,0.0,0.0,1.0,0.0
22,name is Alicia welcome,0.8,0.9,0.5,0.0,0.5,0.4588
23,is Alicia welcome back,0.4,0.45,0.5,0.0,0.5,0.4588
24,Alicia welcome back to,0.4,0.45,0.5,0.0,0.5,0.4588
25,welcome back to top,0.43333333333333335,0.4666666666666666,0.706,0.0,0.294,0.5859
26,back to top words,0.25,0.25,0.375,0.0,0.625,0.2023
27,to top words today,0.5,0.5,0.375,0.0,0.625,0.2023
28,top words today we,0.5,0.5,0.375,0.0,0.625,0.2023
29,words today we 're,0.0,0.0,0.0,0.0,1.0,0.0
30,today we 're going,0.0,0.0,0.0,0.0,1.0,0.0
31,we 're going to,0.0,0.0,0.0,0.0,1.0,0.0
32,'re going to talk,0.0,0.0,0.0,0.0,1.0,0.0
33,going to talk about,0.0,0.0,0.0,0.0,1.0,0.0
34,to talk about 10,0.0,0.0,0.0,0.0,1.0,0.0
35,talk about 10 ways,0.0,0.0,0.0,0.0,1.0,0.0
36,about 10 ways to,0.0,0.0,0.0,0.0,1.0,0.0
37,10 ways to stop,0.0,0.0,0.0,0.423,0.577,-0.296
38,ways to stop translating,0.0,0.0,0.0,0.423,0.577,-0.296
39,to stop translating in,0.0,0.0,0.0,0.423,0.577,-0.296
40,stop translating in your,0.0,0.0,0.0,0.423,0.577,-0.296
41,translating in your head,0.0,0.0,0.0,0.0,1.0,0.0
42,in your head let,0.0,0.0,0.0,0.0,1.0,0.0
43,your head let 's,0.0,0.0,0.0,0.0,1.0,0.0
44,head let 's get,0.0,0.0,0.0,0.0,1.0,0.0
45,let 's get started,0.0,0.0,0.0,0.0,1.0,0.0
46,'s get started identify,0.0,0.0,0.0,0.0,1.0,0.0
47,get started identify objects,0.0,0.0,0.0,0.0,1.0,0.0
48,started identify objects around,0.0,0.0,0.0,0.0,1.0,0.0
49,identify objects around you,0.0,0.0,0.0,0.0,1.0,0.0
50,objects around you in,0.0,0.0,0.0,0.0,1.0,0.0
51,around you in English,0.0,0.0,0.0,0.0,1.0,0.0
52,you in English the,0.0,0.0,0.0,0.0,1.0,0.0
53,in English the first,0.125,0.16666666666666666,0.0,0.0,1.0,0.0
54,English the first way,0.125,0.16666666666666666,0.0,0.0,1.0,0.0
55,the first way to,0.25,0.3333333333333333,0.0,0.0,1.0,0.0
56,first way to stop,0.25,0.3333333333333333,0.0,0.423,0.577,-0.296
57,way to stop translating,0.0,0.0,0.0,0.423,0.577,-0.296
