,Sentence,Pre-processed sentence,textblob-subjectivity,vader-pos,vader-neg,vader-neu,vader-compound,vader-polarity,sentiment-category
0,"Okay, I'm starting with a website now and immediately it has a ton of numbers, which is a little bit intimidating for me.",okay start website immediately ton number little bit intimidate,0.5,0.291,0.164,0.545,0.1027,Positive,
1,I'm sure it's fine and then I'm assuming this has cookies.,sure fine assume cooky,0.6944444444444444,0.672,0.0,0.328,0.4767,Positive,
2,I'm fine with those.,fine,0.5,1.0,0.0,0.0,0.2023,Positive,
3,Okay.,okay,0.5,1.0,0.0,0.0,0.2263,Positive,
4,"Coronavirus in the Slovak Republic very cool I like how it has all the stats here
just seems a little bit overwhelming.",coronavirus slovak republic cool like stats seem little bit overwhelming,0.7166666666666667,0.375,0.0,0.625,0.5859,Positive,Satisfaction
5,I wonder this sticks out to me as well.,wonder stick well,0.0,0.512,0.0,0.488,0.2732,Positive,
6,Total number of recovered patients let's increase it just except fix there's no number there okay so there's a lot of vaccinated people here I'm learning so much already okay I'm traveling I don't need to travel there so I'm assuming you don't need to register.,total number recovered patient let us increase except fix no number okay lot vaccinated people learn much already okay travel not need travel assume not need register,0.4875,0.189,0.094,0.717,0.4414,Positive,
7,Maybe.,maybe,0.0,0.0,0.0,1.0,0.0,Neutral,
8,"Oh, okay read about traveling.",oh okay read travel,0.5,0.388,0.0,0.612,0.2263,Positive,
9,cool like that.,cool like,0.65,1.0,0.0,0.0,0.5859,Positive,Satisfaction
10,"It's a little bit small, but I figured it out.",little bit small figure,0.45,0.0,0.5,0.5,-0.4588,Negative,
11,"Okay, current measures, travel and immigration.",okay current measure travel immigration,0.45,0.322,0.0,0.678,0.2263,Positive,
12,"Let's see current measures rules for establishments wearing face masks or respirator let's learn about that because I'm, I'm interested in that actually face masks.",let us see current measure rule establishment wear face mask respirator let us learn interested actually face mask,0.3333333333333333,0.263,0.0,0.737,0.6908,Positive,
13,"Oh, depends on the degree of warning as according to COVID automation interesting.",oh depend degree warning accord covid automation interest,0.0,0.263,0.211,0.526,0.1531,Positive,
14,That's very different.,different,0.6,0.0,0.0,1.0,0.0,Neutral,
15,From where I am.,,0.0,0.0,0.0,0.0,0.0,Neutral,
16,Okay.,okay,0.5,1.0,0.0,0.0,0.2263,Positive,
17,Rules indoors.,rules indoors,0.0,0.0,0.0,1.0,0.0,Neutral,
