,n-gram,textblob-score,textblob-subjectivity,vader-pos,vader-neg,vader-neu,vader-compound
0,okay i be start website,0.5,0.5,0.322,0,0.678,0.2263
1,i be start website immediately,0,0,0,0,1,0
2,be start website immediately ton,0,0,0,0,1,0
3,start website immediately ton number,0,0,0.245,0,0.755,0.0772
4,website immediately ton number little,-0.1875,0.5,0.245,0,0.755,0.0772
5,immediately ton number little bit,-0.1875,0.5,0.245,0,0.755,0.0772
6,ton number little bit intimidate,-0.1875,0.5,0.223,0.261,0.515,-0.0571
7,number little bit intimidate me,-0.1875,0.5,0.223,0.261,0.515,-0.0571
8,little bit intimidate me i,-0.1875,0.5,0,0.276,0.724,-0.1335
9,bit intimidate me i be,0,0,0,0.31,0.69,-0.2023
10,intimidate me i be sure,0.5,0.888888889,0.324,0.254,0.423,0.128
11,me i be sure fine,0.458333333,0.694444444,0.577,0,0.423,0.4767
12,i be sure fine i,0.458333333,0.694444444,0.577,0,0.423,0.4767
13,be sure fine i be,0.458333333,0.694444444,0.577,0,0.423,0.4767
14,sure fine i be assume,0.458333333,0.694444444,0.577,0,0.423,0.4767
15,fine i be assume cooky,0.416666667,0.5,0.31,0,0.69,0.2023
16,i be assume cooky i,0,0,0,0,1,0
17,be assume cooky i be,0,0,0,0,1,0
18,assume cooky i be fine,0.416666667,0.5,0.31,0,0.69,0.2023
19,cooky i be fine okay,0.458333333,0.5,0.552,0,0.448,0.4019
20,i be fine okay coronavirus,0.458333333,0.5,0.552,0,0.448,0.4019
21,be fine okay coronavirus slovak,0.458333333,0.5,0.552,0,0.448,0.4019
22,fine okay coronavirus slovak republic,0.458333333,0.5,0.552,0,0.448,0.4019
23,okay coronavirus slovak republic cool,0.425,0.575,0.583,0,0.417,0.4939
24,coronavirus slovak republic cool i,0.35,0.65,0.365,0,0.635,0.3182
25,slovak republic cool i like,0.35,0.65,0.615,0,0.385,0.5859
26,republic cool i like stats,0.35,0.65,0.615,0,0.385,0.5859
27,cool i like stats seem,0.35,0.65,0.615,0,0.385,0.5859
28,i like stats seem little,-0.1875,0.5,0.385,0,0.615,0.3612
29,like stats seem little bit,-0.1875,0.5,0.385,0,0.615,0.3612
30,stats seem little bit overwhelming,0.15625,0.75,0,0,1,0
31,seem little bit overwhelming i,0.15625,0.75,0,0,1,0
32,little bit overwhelming i wonder,0.15625,0.75,0,0,1,0
33,bit overwhelming i wonder stick,0.5,1,0,0,1,0
34,overwhelming i wonder stick me,0.5,1,0,0,1,0
35,i wonder stick me well,0,0,0.344,0,0.656,0.2732
36,wonder stick me well total,0,0.75,0.344,0,0.656,0.2732
37,stick me well total number,0,0.75,0.552,0,0.448,0.4005
38,me well total number recovered,0,0.75,0.552,0,0.448,0.4005
