,Sentence,Pre-processed sentence,textblob-subjectivity,vader-pos,vader-neg,vader-neu,vader-compound,vader-polarity,sentiment-category
0,I need you to get her here.,need get,0.0,0.0,0.0,1.0,0.0,Neutral,[]
1,Clubs.,clubs,0.0,0.0,0.0,1.0,0.0,Neutral,[]
2,If it's time.,time,0.0,0.0,0.0,1.0,0.0,Neutral,[]
3,"But at least three times a year in those 3,400.",least three time year 3400,0.4,0.0,0.0,1.0,0.0,Neutral,[]
4,"When a doctor has the opportunity to order online, is it always a use of how often?",doctor opportunity order online always use often,0.0,0.318,0.0,0.682,0.4215,Positive,[]
5,"Hmm, I have a choice, none of which are bills of exchange.",hmm choice none bill exchange,0.0,0.0,0.0,1.0,0.0,Neutral,[]
6,"Often, every month, every moment everyone who does.",often every month every moment everyone,0.0,0.0,0.0,1.0,0.0,Neutral,[]
7,The site will read it here.,site read,0.0,0.0,0.0,1.0,0.0,Neutral,[]
8,It only consults and probably offer to order an online deadline.,consults probably offer order online deadline,0.0,0.0,0.0,1.0,0.0,Neutral,[]
9,"Write, you should have you write down well I'll give a name either I know the name or we'll look up.",write write well shall give name either know name look,0.0,0.189,0.0,0.811,0.2732,Positive,[]
10,I don't know a neurologist hey looking.,not know neurologist hey look,0.0,0.0,0.0,1.0,0.0,Neutral,[]
11,Why read?,read,0.0,0.0,0.0,1.0,0.0,Neutral,[]
12,But I see the address phone number there and I see that next free date.,see address phone number see next free date,0.4,0.726,0.0,0.274,0.8625,Positive,[]
13,"Just the address phone number and the next deadline about when it is and when, for example, it does not meet in 3 days, then it is not offered any calendar thus ends.",address phone number next deadline example not meet 3 day not offer calendar thus end,0.0,0.085,0.0,0.915,0.0772,Positive,[]
14,That's the next step.,next step,0.0,0.0,0.0,1.0,0.0,Neutral,[]
15,"And the other thing is, for example, I don't know here at all uh.",thing example not know uh,0.0,0.0,0.0,1.0,0.0,Neutral,[]
16,That's what I wanted to tell you I don't know is there's a deadline you need the next available date and if you didn't meet me so what to show the profile ha it's we see the hotel he's accepting a new full insurance office we're counting not the office hours went free to show all the free dates it's eye.,want tell not know deadline need next available date not meet show profile ha see hotel accept new full insurance office count not office hour go free show free date eye,0.5007575757575758,0.389,0.0,0.611,0.9313,Positive,[]
17,7.,7,0.0,0.0,0.0,1.0,0.0,Neutral,[]
18,I think it's all hmm.,think hmm,0.0,0.0,0.0,1.0,0.0,Neutral,[]
19,"Something by ordering I would definitely order there online that there were 2 buttons to show the profile and the customers were also in the profile and ordering just would be that kalendar, because for example when you saw me at the beginning I stared into it that, for example, it wouldn't occur to me that it's in this order profile, uh, not that I would take.",something order would definitely order online 2 button show profile customer also profile ordering would kalendar example saw beginning star example would not occur order profile uh not would take,0.5,0.085,0.0,0.915,0.4019,Positive,[]
20,"It's not easy, it's just this.",not easy,0.8333333333333334,0.0,0.706,0.294,-0.3412,Negative,[]
21,But here those who know in 1 of mine this way I will give you advice I will be obliged to do no later than 40 minutes before your deadline on the site.,know 1 mine way give advice oblige no late 40 minute deadline site,0.6,0.0,0.155,0.845,-0.296,Negative,[]
22,I was in trouble.,trouble,0.2,0.0,1.0,0.0,-0.4019,Negative,[]
23,That's at 26 now what?,26,0.0,0.0,0.0,1.0,0.0,Neutral,[]
24,"Of course, uh.",course uh,0.0,0.0,0.0,1.0,0.0,Neutral,[]
25,The free booking management period has expired.,free booking management period expire,0.8,0.452,0.0,0.548,0.5106,Positive,[]
26,"This is what after the expiry of the 40 8:00 period before the deadline, cancellation fees are required after the expiry of the period of 40 8:00 before the deadline.",expiry 40 800 period deadline cancellation fee require expiry period 40 800 deadline,0.0,0.0,0.0,1.0,0.0,Neutral,[]
27,"2 days I'm going to cancel and I'm going to change my deadline, but I don't know if, as a poor poor patient, I'd understand it older or some kind of keep deadline to continue with the payment obligation.",2 day go cancel go change deadline not know poor poor patient would understand old kind keep deadline continue payment obligation,0.575,0.309,0.073,0.618,0.7585,Positive,[]
28,So the card cancels.,card cancel,0.0,0.0,0.667,0.333,-0.25,Negative,[]
29,"I was already there at the end of the day, uh, what a nod did.",already end day uh nod,0.0,0.0,0.0,1.0,0.0,Neutral,[]
30,Nothing to change the term nothing here is that I want another term ended I really do not know to go on so I do not know gunshot but I like that there are capital letters that I do not like it.,nothing change term nothing want another term end really not know go not know gunshot like capital letter not like,0.2,0.0,0.242,0.758,-0.5334,Negative,[]
31,"But if I was looking for it there, I'm not sure, but on average, an intelligent person, when I look around, I guess there might be one that everyone doesn't know, but I didn't even make it.",look not sure average intelligent person look around guess might one everyone not know not even make,0.7296296296296295,0.0,0.228,0.772,-0.5334,Negative,[]
32,Thanks.,thanks,0.2,1.0,0.0,0.0,0.4404,Positive,[]
33,I wouldn't be killed by Euro 99.,would not kill euro 99,0.0,0.483,0.0,0.517,0.5773,Positive,[]
34,"I also understand that the doctor will have something to do with it, but for example, if I had a good reason for it, it probably won't let me change them further, there's probably some possibility that you have a good reason for it, because that's what we talked about, that if you have any reason that you're sick or something like that that you don't pay in and there's probably no way I'm there.",also understand doctor something example good reason probably not let change far probably possibility good reason talk reason sick something like not pay probably no way,0.7642857142857143,0.33,0.095,0.575,0.7339,Positive,[]
35,I think pk.,think pk,0.0,0.0,0.0,1.0,0.0,Neutral,[]
36,I think the adjustments to the deadline are 2 different things uh when I edit so it doesn't put me anywhere on that new date.,think adjustment deadline 2 different thing uh edit not put anywhere new date,0.5272727272727272,0.0,0.0,1.0,0.0,Neutral,[]
37,I don't understand if I've clicked that new term before.,not understand click new term,0.45454545454545453,0.0,0.0,1.0,0.0,Neutral,[]
38,"Because it should be tied to the fact that it really is that it really is those two days, but at that 40 8:00, but I'm saying that nowhere else, for example, are you going to cancel it and you can't get the metal sick in the bowl of a kid getting sick that he's going to get some de facto apologies to that doctor that you had a compelling reason for that.",tie fact really really two day 40 800 say nowhere else example go cancel not get metal sick bowl kid get sick go get de facto apology doctor compelling reason,0.6285714285714286,0.161,0.147,0.692,-0.1275,Negative,[]
39,Can I get my leg?,get leg,0.0,0.0,0.0,1.0,0.0,Neutral,[]
40,"I'm going to go to the chickens, I'm going to break my leg and I can't come, and it's already costing me â‚¬2, I'd love to come, but I just can't come to the stankovian or I don't know what he's up to.",go go chicken go break leg not come already cost â2 would love come not come stankovian not know,0.7749999999999999,0.189,0.0,0.811,0.6369,Positive,[]
41,"Well, registering was easy.",well register easy,0.8333333333333334,0.833,0.0,0.167,0.6124,Positive,[]
42,"Specialization probably writes, it's not a cardiologist online term online term yes, but specialty cardio search and I have the most crazy 30s but so I put cardio looking.",specialization probably write not cardiologist online term online term yes specialty cardio search crazy 30s put cardio look,0.9,0.128,0.114,0.758,0.0772,Positive,[]
43,And I guess it's so sorted.,guess sorted,0.0,0.0,0.0,1.0,0.0,Neutral,[]
44,Hey?,hey,0.0,0.0,0.0,1.0,0.0,Neutral,[]
45,A closer date and.,closer date,0.0,0.0,0.0,1.0,0.0,Neutral,[]
46,"It's here uh uh, uh, I'm supposed to fill something out when I'm registered.",uh uh uh suppose fill something registered,0.0,0.0,0.0,1.0,0.0,Neutral,[]
47,"It wasn't, uh.",wasnt uh,0.0,0.0,0.0,1.0,0.0,Neutral,[]
48,"He can take me tomorrow, pk.",take tomorrow pk,0.0,0.0,0.0,1.0,0.0,Neutral,[]
49,"I can't wait, it's just another singer, but I don't know where I'd be looking for it.",not wait another singer not know would look,0.0,0.0,0.0,1.0,0.0,Neutral,[]
50,"Now the question is that if he 1 contact me and I contact you and him, it is possible to consult the results of previous examinations of the hrahranica, or else after ordering you contact you on another and I read well that they accept and there probably will be some info.",question 1 contact contact possible consult result previous examination hrahranica else order contact another read well accept probably info,0.5833333333333334,0.217,0.0,0.783,0.5719,Positive,[]
51,"Uh, slightly complicated, but just because I think I'd do it once if I worked with it, it's totally cool, okay?",uh slightly complicate think would work totally cool okay,0.4388888888888889,0.405,0.0,0.595,0.5819,Positive,[]
52,"Thanks, so.",thanks,0.2,1.0,0.0,0.0,0.4404,Positive,[]
53,"Registration registered German contact as now I do not know how to give me an email or very call so and I am a regular person is just a statement, I have time, I until then I do not give you time to give and read uh uh.",registration register german contact not know give email call regular person statement time not give time give read uh uh,0.038461538461538464,0.0,0.0,1.0,0.0,Neutral,[]
54,"Hmm, like 100, you probably were.",hmm like 100 probably,0.0,0.455,0.0,0.545,0.3612,Positive,[]
55,The current address profile I want patients to know that you changed this information well I'll fix it but make fun of it.,current address profile want patient know change information well shall fix make fun,0.30000000000000004,0.401,0.0,0.599,0.6908,Positive,[]
56,Well edit the uh street it's I write the alices and the city numbers bla bla save save uh messages send to all ordered patients to send.,well edit uh street write alices city number bla bla save save uh message send order patient send,0.0,0.412,0.0,0.588,0.8316,Positive,[]
57,"I would give all patients a nebula does not have an Osusky good day, it will not be a good day dear patients, I would like to inform you about the planned piece.",would give patient nebula not osusky good day not good day dear patient would like inform planned piece,0.6000000000000001,0.106,0.298,0.596,-0.5417,Negative,[]
58,"This date, to break the act, you'd write that.",date break act would write,0.0,0.0,0.0,1.0,0.0,Neutral,[]
59,"I left 1 what I went looking for patients, patients with thoughts.",leave 1 go look patient patient thought,0.0,0.0,0.167,0.833,-0.0516,Negative,[]
60,"Announcements, so I'd go from the patients.",announcements would go patient,0.0,0.0,0.0,1.0,0.0,Neutral,[]
