,Sentence,Pre-processed sentence,textblob-subjectivity,textblob-score,vader-pos,textblob-polarity,vader-neg,vader-neu,vader-compound,vader-polarity
0,,  need get,0.0,0.0,0.0,,0.0,1.0,0.0,
1,,  clubs,0.0,0.0,0.0,,0.0,1.0,0.0,
2,,  time,0.0,0.0,0.0,,0.0,1.0,0.0,
3,,  least three time year,0.4,-0.3,0.0,,0.0,1.0,0.0,
4,,  doctor opportunity order online always use often,0.0,0.0,0.318,,0.0,0.682,0.4215,
5,,  hmm choice none bill exchange,0.0,0.0,0.0,,0.0,1.0,0.0,
6,,  often every month every moment everyone,0.0,0.0,0.0,,0.0,1.0,0.0,
7,,  site read,0.0,0.0,0.0,,0.0,1.0,0.0,
8,,  consults probably offer order online deadline,0.0,0.0,0.0,,0.0,1.0,0.0,
9,,  write write well shall give name either know name look,0.0,0.0,0.189,,0.0,0.811,0.2732,
10,,  not know neurologist hey look,0.0,0.0,0.0,,0.0,1.0,0.0,
11,,  read,0.0,0.0,0.0,,0.0,1.0,0.0,
12,,  see address phone number see next free date,0.4,0.2,0.434,,0.0,0.566,0.5574,
13,,  address phone number next deadline example not meet day not offer calendar thus end,0.0,0.0,0.091,,0.0,0.909,0.0772,
14,,  next step,0.0,0.0,0.0,,0.0,1.0,0.0,
15,,  thing example not know uh,0.0,0.0,0.0,,0.0,1.0,0.0,
16,,  want tell not know deadline need next available date not meet show profile ha see hotel accept new full insurance office count not office hour go free show free date eye,0.5007575757575758,0.28106060606060607,0.332,,0.0,0.668,0.8979,
17,, ,0.0,0.0,0.0,,0.0,0.0,0.0,
18,,  think hmm,0.0,0.0,0.0,,0.0,1.0,0.0,
19,,  something order would definitely order online button show profile customer also profile ordering would kalendar example saw beginning star example would not occur order profile uh not would take,0.5,0.0,0.088,,0.0,0.912,0.4019,
20,,  not easy,0.8333333333333334,-0.21666666666666667,0.0,,0.706,0.294,-0.3412,
21,,  know mine way give advice oblige no late minute deadline site,0.6,0.15,0.0,,0.18,0.82,-0.296,
